,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
172,173,"SPITALUL DE PSIHIATRIE ""SF. MARIA"" VEDEA",A2000,Arges,V,specialitate,public,fara invatamant,"Pitesti, Piata Vasile Milea nr. 1, judetul Arges",sfmariapsih@yahoo.com,www.spitalpsihsfmaria.ro,CONSILIUL JUDEtEAN ARGEs,Acreditat,Unitate aflata in proces de acreditare,,,
173,174,"SPITALUL CLINIC DE URGENTA ""SFANTUL PANTELIMON"", BUCURE?TI",A2001,Bucuresti,II,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",scusfpant@yahoo.com,https://urgentapantelimon.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
174,175,SPITALUL ORASENESC AGNITA,A2002,Sibiu,IV,general,public,fara invatamant,"STR.PIATA REPUBLICII NR.19 COD 555100, LOC.AGNITA, JUD.SIBIU",office@spital-agnita.ro,www.spital-agnita.ro,CONSILIUL LOCAL,Acreditat,Unitate aflata in proces de acreditare,,,
175,176,SPITALUL CLINIC DE BOLI INFECTIOASE SI TROPICALE �DR.VICTOR BABES�,A2003,Bucuresti,II M,specialitate,public,clinic cu sectii universitare,"Str. Sf. Ecaterina, nr. 3, sector 4, Bucuresti",office@spitalulbabes.ro,www.spitalulbabes.ro,Administratia Spitalelor si Serviciilor Medicale Bucuresti,Acreditat,Unitate aflata in proces de acreditare,,,
176,177,SANATORIUL DE PNEUMOFTIZIOLOGIE BRAD,A2004,Hunedoara,V,specialitate,public,fara invatamant,"Str. 1 Decembrie 1918 Nr.28, loc. Deva, jud. Hunedoara",sanatoriul.brad@yahoo.com,www.smii-brad.ro,Consiliul Judetean Hunedoara,Acreditat,Categoria II Acreditat cu recomandari,,,
177,178,SPITALUL DE PSIHIATRIE CAVNIC,A2005,Maramures,V,specialitate,public,fara invatamant,str.22 Decembrie nr.4,spitalcavnic1@gmail.com,www.spitalpsihiatriecavnic.ro,Primaria Cavnic,Acreditat,Unitate aflata in proces de acreditare,,,
178,179,SPITALUL CLINIC JUDETEAN MURE?,A2006,Mures,II,general,public,clinic cu sectii universitare,"Targu Mures, Piata Victoriei Nr. 1",secretariat@spitaljudeteanmures.ro,www.spitaljudeteanmures.ro,CONSILIUL JUDETEAN MURES,Acreditat,Unitate aflata in proces de acreditare,,,
179,180,SPITALUL DE BOLI CRONICE CIMPENI,A50000,Alba,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"str.PiaTa Avram Iancu, nr. 5",sanatoriultbc@yahoo.com,http://www.spitaluldebolicronicecimpeni.ro/,PRIMARIA ORASULUI CIMPENI,Acreditat,Unitate aflata in proces de acreditare,,,
180,181,SPITALUL MUNICIPAL AIUD,A50001,Alba,IV,general,public,fara invatamant,Str. Spitalului nr. 2,spitalaiud@gmail.com,wwwspitalaiud.ro/ro,Spitalul Municipal Aiud,Acreditat,Unitate aflata in proces de acreditare,,,
181,182,SPITALUL ORASENESC CUGIR,A50002,Alba,IV,general,public,fara invatamant,str. I.L. Caragiale nr.1,spitalcugir@yahoo.com,www.spitalcugir.ro,Primaria Orasului Cugir,Acreditat,Unitate aflata in proces de acreditare,,,
182,183,CENTRUL MEDICAL LASER SYSTEM,A50003,Arad,V,specialitate,privat,fara invatamant,"Arad, Str. Andrei saguna nr. 14",secretariat@lasersystem.ro,www.lasersystem.ro,CENTRUL MEDICAL LASER SYSTEM,Acreditat,Unitate aflata in proces de acreditare,,,
183,184,"SPITALUL ""SFANTUL GHOERGHE"" -TERAPEUTICA SA",A50004,Arad,IV,general,privat,fara invatamant,"-Chisineu-Cris, str. Teilor, nr.4",t_terapeutica@yahoo.co.uk,www.terapeutica-sa.ro,-TERAPEUTICA SA,Acreditat,Unitate aflata in proces de acreditare,,,
184,185,SPITALUL CLINIC JUDETEAN DE URGENTA ARAD,A50005,Arad,II,urgenta,public,clinic cu sectii universitare,"Str. Corneliu Coposu, nr.22, Arad",secretariat@scjarad.ro,www.scjarad.ro,CONSILIUL JUDEtEAN ARAD,Acreditat,Unitate aflata in proces de acreditare,,,
185,186,SPITALUL DE BOLI CRONICE SEBIS,A50006,Arad,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Sebis, P-ta Tineretului nr. 1",spitalsebis@artelecom.net,http://spitalsebis.ro,Consiliul Local Sebis,Acreditat,Unitate aflata in proces de acreditare,,,
186,187,SPITALUL DE PSIHIATRIE CAPALNAS,A50007,Arad,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"str Corneliu Coposu nr 22, Arad,jud Arad",secretariat@spitalulcapalnas.ro,www.spitalulcapalnas.ro,Consiliul Judetean Arad,Acreditat,Unitate aflata in proces de acreditare,,,
187,188,SPITALUL ORASENESC LIPOVA,A50008,Arad,IV,general,public,fara invatamant,"JUD.ARAD,LOC.LIPOVA,STR.NICOLAE BALCESCU NR.26",spital.lipova@gmail.com,www.spitalulipova.ro,CONSILIUL LOCAL LIPOVA,Acreditat,Unitate aflata in proces de acreditare,,,
188,189,SOCIETATEA DR IRIMIA SRL,A50009,Arges,Neclasificat,general,privat,fara invatamant,"PITESTI, str.Negru Voda, nr.3-5",infodririmia@yahoo.ro,www.dririmia.ro,SC DR.IRIMIA SRL,Neacreditat,Unitate aflata in proces de acreditare,,,
189,190,SPITALUL SFANTUL NICOLAE SRL,A50010,Arges,V,afectiuni cronice,privat,fara invatamant,"PITESTI, STR. CAPORAL DOGARU NR. 4 BIS",centrulmedicalpitesti@yahoo.com,www.centrulmedicalpitesti.ro,SPITALUL SFANTUL NICOLAE,Acreditat,Unitate aflata in proces de acreditare,,,
190,191,SPITALUL DE PNEUMOFTIZIOLOGIE CU AMBULATORIU INTEGRAT,A50011,Arges,V,specialitate,public,fara invatamant,"Pitesti, Piata Vasile Milea Nr. 1, Judetul Arges",contact@spitalleordeni.ro,www.spitalleordeni.ro,Consiliul Judetean Arges,Acreditat,Unitate aflata in proces de acreditare,,,
191,192,SPITAL JUDETEAN DE URGENTA CU AMBULATORIU INTEGRAT DE SPECIALITATE PITE?TI,A50012,Arges,III,urgenta,public,fara invatamant,PIATA VASILE MILEA NR. 1,spiturgag01@yahoo.com,www.sjupitesti.ro,CONSILIUL JUDETEAN ARGES,Acreditat,Unitate aflata in proces de acreditare,,,
192,193,SPITALUL MUNICIPAL CU AMBULATORIU INTEGRAT DE SPECIALITATE CAMPULUNG,A50013,Arges,IV,general,public,fara invatamant,"LOC. CAMPULUNG, STR. NEGRU VODA, NR. 127",spital.campulung@gmail.com,www.smcampulung@gmail.com,PRIMARIA MUNICIPIULUI CAMPULUNG,Acreditat,Unitate aflata in proces de acreditare,,,
193,194,SPITALUL DE RECUPERARE CU AMBULATORIU DE SPECIALITATE INTEGRAT BRADET,A50014,Arges,V,specialitate,public,fara invatamant,"Piata Vasile Milea, Nr. 1",office@spitalbradet.ro,www.spitalbradet.ro,Consiliul Judetean Arges,Acreditat,Unitate aflata in proces de acreditare,,,
194,195,SPITAL MUNICIPAL CURTEA DE ARGES CU AMBULATORIU DE SPECIALITATE INTEGRAT,A50015,Arges,IV,general,public,fara invatamant,"Bld. Basarabilor, Nr. 99; Curtea de Arges, Jud. Arges",secretariat@smca.ro,www.smca.ro,UAT MUNICIPIUL CURTEA DE ARGES,Acreditat,Unitate aflata in proces de acreditare,,,
195,196,"SPITALUL ORASENESC ""REGELE CAROL I"" COSTESTI",A50016,Arges,IV,general,public,fara invatamant,"str.Vasile Milea, nr.1, oras Pitesti, judet Arges",spitalcostesti@yahoo.com,www.spitalregelecarol.ro,Consiliul Judetean Arges,Acreditat,Unitate aflata in proces de acreditare,,,
196,197,SOCIETATEA MAGURA SA TG.OCNA BACAU,A50017,Bacau,V,specialitate,privat,fara invatamant,"TG.OCNA, TRANDAFIRULUI, 3, BACaU",sanmagura@sanmagura.ro,http://sanmagura.ro/,SC MAGURA SA,Acreditat,Unitate aflata in proces de acreditare,,,
197,198,S.C POLIMED S.R.L.,A50018,Bacau,IV,general,privat,fara invatamant,"STR. TUDOR VLADIMIRESCU, NR.552, COM. PODU TURCULUI, JUD. BACAU",polimedbc@xnet.ro,www.spitalpolimed.ro,S.C. POLIMED S.R.L.,Acreditat,Unitate aflata in proces de acreditare,,,
198,199,SPITALUL DE PNEUMOFTIZIOLOGIE BACAU,A50019,Bacau,V,specialitate,public,fara invatamant,"str. CALEA MARASESTI, NR.6, BACAU",secretariat@pneumobacau.ro,www.pneumoftiziologie-bacau.ro,CONSILIUL LOCAL BACAU,Acreditat,Unitate aflata in proces de acreditare,,,
199,200,"SPITALUL MUNICIPAL,,SF.IERARH DR.LUCA,,ONESTI",A50020,Bacau,III,general,public,fara invatamant,"Bd. Oituz, nr. 17, Loc. Onesti, Jud. Bacau",spitalonesti@yahoo.com,www.spitalonesti.ro,PRIMARIA MUNICIPIULUI ONESTI,Acreditat,Unitate aflata in proces de acreditare,,,
200,201,"SPITALUL ORASENESC""IOAN LASCAR""COMANESTI",A50021,Bacau,IV,general,public,fara invatamant,"Str. Ciobanus, Nr.2",secretariat@spitalulcomanesti.ro,www.spitalulcomanesti.ro,ORAS COMANESTI,Acreditat,Unitate aflata in proces de acreditare,,,
201,202,SPITALUL CLINIC C.F.ORADEA,A50022,Bihor,IV,general,public,clinic cu sectii universitare,BUCURESTI BD. DINICU GOLESCU NR.38,spitalcforadea@yahoo.com,www.spitalcforadea.ro,MINISTERUL TRANSPORTURILOR,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
202,203,"SPITALUL CLINIC MUNICIPAL ""DR. GAVRIL CURTEANU""ORADEA",A50023,Bihor,II,general,public,clinic cu sectii universitare,Piata Unirii nr.1 Oradea,spitalcopiioradea@gmail.com,www. scmo.ro,PRIMARIA MUNICIPIULUI ORADEA,Acreditat,Unitate aflata in proces de acreditare,,,
203,204,SPITAL DE PSIHIATRIE SI PENTRU MASURI DE SIGURANTA STEI,A50024,Bihor,III,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Strada Cristian Popisteanu, nr. 1-3, Sector 1, cod 010024, Bucuresti",psihiatrie.stei@yahoo.com,www.hpsihiatriestei.ro,MINISTERUL SaNaTatII,Acreditat,Unitate aflata in proces de acreditare,,,
204,205,"SPITALUL MUNICIPAL ""EPISCOP NICOLAE POPOVICI"" BEIUS",A50025,Bihor,IV,general,public,fara invatamant,"BEIUS, STR. PIATA SAMUIL VULCAN, NR.14",contact@spitalulbeius.ro,http://www.spitalulbeius.ro/,CONSILIUL LOCAL AL MUNICIPIULUI BEIUS,Acreditat,Unitate aflata in proces de acreditare,,,
205,206,SANATORIUL DE NEUROPSIHIATRIE PODRIGA,A50026,Botosani,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Botosani, Piata Revolutiei 1-3, Cod postal: 710236",sana_toriu@yahoo.com,www.sanatoriulpodriga.ro,Consiliul Judetean Botosani,Acreditat,Unitate aflata in proces de acreditare,,,
206,207,"SPITALUL JUDETEAN DE URGENTA ""MAVROMATI"" BOTOSANI",A50027,Botosani,III,urgenta,public,fara invatamant,"Piata Revolutiei 1-3, Botosani",spital@spitalulmavromati.ro,www.spitalulmavromati.ro,Consiliul Judetean Botosani,Acreditat,Unitate aflata in proces de acreditare,,,
207,208,FUNDATIA HOSPICE CASA SPERANTEI,A50028,Brasov,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,Brasov Str. Sitei Nr 17 A,hospice@hospice.ro,www.hospice.ro,Consiliul Director,Acreditat,Unitate aflata in proces de acreditare,,,
208,209,SOCIETATEA CENTRUL MEDICAL UNIREA SRL,A50029,Brasov,III,specialitate,privat,fara invatamant,"str. Guillaume Kroll nr. 5, L-1882 Luxembourg, Marele Ducat al Luxembourg",brasov@reginamaria.ro,https://www.reginamaria.ro/spitale/spitalul-de-obstetrica-ginecologie-si-pediatrie-brasov,"Royal Capital Investments S.a.r.l., a o societate inregistrata conform legilor din Luxembourg",Acreditat,Unitate aflata in proces de acreditare,,,
209,210,SPITALUL CLINIC DE URGENTA PENTRU COPII BRASOV,A50030,Brasov,II M,urgenta,public,clinic cu sectii universitare,"Brasov, B-dul Eroilor, nr. 5",spitalcopiibrasov@gmail.com,www.spitalcopiibrasov.ro,Consiliul Judetean Brasov,Acreditat,Unitate aflata in proces de acreditare,,,
210,211,"SPITALUL CLINIC DE OBSTETRICA GINECOLOGIE ""DR.I.A.SBARCEA",A50031,Brasov,II M,specialitate,public,clinic cu sectii universitare,B-dul Eroilor nr.5,secretariat@maternitatea.ro,www.maternitatea.ro,Consiliul Judetean Brasov,Acreditat,Unitate aflata in proces de acreditare,,,
211,212,SPITALUL GENERAL C.F. BRASOV,A50032,Brasov,IV,general,public,fara invatamant,BUCURESTI DINICU GOLESCU NR. 38,spcfbv@spcfbv.ro,www.spcfbv.ro,MINISTERUL TRANSPORTURILOR,Acreditat,Unitate aflata in proces de acreditare,,,
212,213,SPITALUL DE PNEUMOFTIZIOLOGIE BRAILA,A50033,Braila,V,specialitate,public,fara invatamant,"Piata Independentei 1, Braila 810210",spitaltbcbraila@yahoo.com,www.spitalultbcbr.ro,Consiliul Judetean Braila,Acreditat,Unitate aflata in proces de acreditare,,,
213,214,"SPITAL DE PSIHIATRIE ""SF.PANTELIMON"" BRAILA",A50034,Braila,V,specialitate,public,fara invatamant,"Piata Independentei, nr.1",spbr1@spitalpsihiatriebraila.ro,www.spitalpsihiatriebraila.ro,Primaria Municipiului Braila,Acreditat,Unitate aflata in proces de acreditare,,,
214,215,SPITALUL ORASENESC FAUREI,A50035,Braila,V,general,public,fara invatamant,"STR.REPUBLICII,NR.46",spit_or_faurei@yahoo.com,www.spitalfaurei.ro,CONSILIUL LOCAL FAUREI,Neacreditat,Categoria VI Neacreditat,,,
215,216,SPITALUL JUDETEAN DE URGENTA BRAILA,A50036,Braila,III,urgenta,public,fara invatamant,"str. Piata Independentei, nr. 1, Braila",oficiu@spitjudbraila.ro,www.spitalbraila.ro,CONSILIUL JUDETEAN DE URGENTA BRAILA,Acreditat,Unitate aflata in proces de acreditare,,,
216,217,"CENTRUL CLINIC DE BOLI REUMATISMALE ""DR. ION STOIA",A50038,Bucuresti,II M,afectiuni cronice,public,clinic cu sectii universitare,B-dul Regina Elisabeta nr. 47 sector 5 cod po?tal 050013,secretariat@centru-reumatologie.ro,www.reumatologiedrstoia.ro,PRIMARIA MUNICIPIULUI BUCURESTI,Acreditat,Unitate aflata in proces de acreditare,,,
217,218,INSTITUTUL CLINIC FUNDENI,A50040,Bucuresti,I M,general,public,institut,"Strada Cristian Popisteanu, nr. 1-3, sector 1, cod 010024, Bucuresti",secretariat@icfundeni.ro,icfundeni.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
218,219,INSTITUTUL DE FONOAUDIOLOGIE SI CHIRURGIE FUNCTIONALA ORL �PROF. DR. DORIN HOCIOTA�,A50041,Bucuresti,I M,specialitate,public,institut,str. Cristian Popisteanu,instorl@ifacforl.ro,www.ifacforl.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
219,220,INSTITUTUL DE URGENTA PENTRU BOLI CARDIOVASCULARE �PROF. DR. C.C.ILIESCU�,A50042,Bucuresti,I M,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popisteanu, Bucuresti 030167",ibcardio@gmail.com,www.cardioiliescu.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
220,221,"INSTITUTUL NATIONAL DE DIABET, NUTRITIE SI BOLI METABOLICE �PROF. DR. NICOLAE PAULESCU�",A50043,Bucuresti,I M,specialitate,public,clinic cu sectii universitare,Str. Cristian Popisteanu nr.1-3 sector 1 Bucuresti,secretariat@paulescu.ro,wwwpaulescu.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
221,222,"INSTITUTUL NATIONAL DE GERONTOLOGIE SI GERIATRIE ""ANA ASLAN",A50044,Bucuresti,I M,pentru bolnavi cu afectiuni cronice,public,institut,Str. Cristian Popisteanu,secretariat@ana-aslan.ro,www.ana-aslan.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
222,223,INSTITUTUL NATIONAL DE NEUROLOGIE SI BOLI NEUROVASCULARE,A50045,Bucuresti,I M,general,public,institut,"STR. CRISTIAN POPISTEANU NR. 1-3 , SECTOR 1",manager_ibcv@yahoo.com,www.innbn-bucuresti.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
223,224,"INSTITUTUL NATIONAL DE RECUPERARE, MEDICINA FIZICA SI BALNEOCLIMATOLOGIE",A50046,Bucuresti,I M,afectiuni cronice,public,institut,"Strada Cristian Popi?teanu, nr. 1-3, sector 1",info@inrmfb.ro,www.inrmfb.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
224,225,"INSTITUTUL NATIONAL PENTRU SANATATEA MAMEI SI COPILULUI ""ALESSANDRESCU-RUSESCU",A50047,Bucuresti,I M,specialitate,public,institut,"Bucuresti, Sector 1, str. Cristian Popisteanu, nr. 1-3",secretariat@insmc.ro,www.insmc.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
225,226,"INSTITUTUL ONCOLOGIC ""PROF. DR. AL. TRESTIOREANU"" BUCURESTI",A50048,Bucuresti,I M,specialitate,public,institut,"Strada Cristian Popi?teanu, nr. 1-3, sector 1",secretariat@iob.ro,www.iob.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
226,227,SOCIETATEA DELTA HEALTH CARE SRL,A50050,Bucuresti,IV,specialitate,privat,fara invatamant,"str. Guillaume Kroll nr. 5, L-1882 Luxembourg, Marele Ducat al Luxembourg",office.ponderas@reginamaria.ro,https://www.reginamaria.ro/spitale/ponderas-academic-hospital,"Royal Capital Investments S.a.r.l, societate inregistrata conform legilor din Luxembourg",Acreditat,Unitate aflata in proces de acreditare,,,
227,228,SOCIETATEA GRAL MEDICAL SRL,A50051,Bucuresti,IV,general,privat,fara invatamant,"Traian Popovici 79-91, sector 3, BUCURESTI",office@gralmedical.ro,www.gralmedical.ro,SC GRAL MEDICAL SRL,Acreditat,Unitate aflata in proces de acreditare,,,
228,229,SOCIETATEA CLINICA NEWMEDICS SRL,A50053,Bucuresti,Neclasificat,general,privat,fara invatamant,"Sos Giurgiului, nr 261B, sector 4, Bucuresti",clinica@newmedics.ro,www.clinica-newmedics.ro,SC CLINICA NEWMEDICS SRL,Acreditat,Unitate aflata in proces de acreditare,,,
229,230,SOCIETATEA SANAMED HOSPITAL SRL,A50054,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"TiRGU MURE?, str. Gheorghe Marinescu, nr.1, jud. Mure?",info@sana-med.ro,www.sanamed.ro,privat,Acreditat,Unitate aflata in proces de acreditare,,,
230,231,SOCIETATEA TINOS CLINIC SRL,A50055,Bucuresti,IV,specialitate,privat,fara invatamant,"Str. Barca, nr. 2, Bl. M184, sc 1, etj 1,apt.7, sector 5",office@tinosmedical.ro,www.tinosclinic.ro,SC TINOS CLINIC SRL,Acreditat,Unitate aflata in proces de acreditare,,,
231,232,"SPITALUL CLINIC DE URGENTA "" BAGDASAR - ARSENI",A50056,Bucuresti,I M,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",directie@bagdasar-arseni.ro,www.bagdasar-arseni.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
232,233,"SPITALUL CLINIC ""PROF.DR. TH. BURGHELE",A50057,Bucuresti,II M,specialitate,public,clinic cu sectii universitare,"Strada Sf. Ecaterina nr. 3, Sector 4, Bucuresti",contact@burghele.ro,www.burghele.ro,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI,Acreditat,Unitate aflata in proces de acreditare,,,
233,234,SPITALUL CLINIC CF NR 2 BUCURESTI,A50058,Bucuresti,III,general,public,clinic cu sectii universitare,"Bulevardul Dinicu Golescu, nr. 38, Sector 1, Bucuresti",office@spcf2.ro,http://www.spcf2.ro/,Ministerul Transporturilor,Acreditat,Unitate aflata in proces de acreditare,,,
234,235,SPITALUL CLINIC COLENTINA - SPITAL DE ADULTI SI AMBULATORIU DE SPECIALITATE,A50059,Bucuresti,II,general,public,clinic cu sectii universitare,"Str. Sf. Ecaterina, Nr. 3, Sector 4, Bucuresti",mgmcalitate@spitalulcolentina.ro,www.spitalulcolentina.ro,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI,Acreditat,Unitate aflata in proces de acreditare,,,
235,236,"SPITALUL CLINIC DE CHIRURGIE ORO-MAXILO-FACIALA ""PROF. DR. DAN THEODORESCU",A50060,Bucuresti,II M,specialitate,public,clinic cu sectii universitare,"Str. Sf. Ecaterina, Nr. 3, Sector 4, Bucuresti",secretariat@spitalomf.ro,www.spitalomf.ro,ASSMB,Acreditat,Unitate aflata in proces de acreditare,,,
236,237,"SPITALUL CLINIC DE COPII ""DR. VICTOR GOMOIU",A50061,Bucuresti,II M,specialitate,public,clinic cu sectii universitare,"STR. SF. ECATERINA NR. 3, SECTOR 4, BUCURESTI",secretariat@spitalgomoiu.ro,www.spitalgomoiu.ro,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI,Acreditat,Unitate aflata in proces de acreditare,,,
237,238,"SPITALUL CLINIC DE NEFROLOGIE ""DR. CAROL DAVILA",A50062,Bucuresti,II M,specialitate,public,clinic cu sectii universitare,"STR. SF. ECATERINA, NR. 3, SECTOR 4, BUCURESTI",contact@spcaroldavila.ro,www.spcaroldavila.ro,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI,Acreditat,Unitate aflata in proces de acreditare,,,
238,239,"SPITALUL CLINIC DE ORTOPEDIE, TRAUMATOLOGIE SI TBC OSTEOARTICULAR FOISOR",A50063,Bucuresti,I M,specialitate,public,clinic cu sectii universitare,"Strada Sf. Ecaterina Nr. 3, Sector 4, Bucuresti",contact@foisor.ro,www.foisor.ro,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI,Acreditat,Unitate aflata in proces de acreditare,,,
239,240,"SPITALUL CLINIC DE URGENTA ""SFANTUL IOAN"" BUCURESTI",A50064,Bucuresti,II,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",secretariat@sfib.ro,www.sfib.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
240,241,SPITALUL CLINIC DE URGENTA BUCURE?TI,A50065,Bucuresti,I,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",spital@urgentafloreasca.ro,www.urgentafloreasca.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
241,242,"SPITALUL CLINIC DE URGENTA PENTRU COPII ,,M.S.CURIE''",A50066,Bucuresti,I M,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popisteanu, Bucuresti 030167",spital@mscurie.ro,www.mscurie.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
242,243,"SPITALUL CLINIC DE URGENTA DE CHIRURGIE PLASTICA, REPARATORIE ?I ARSURI",A50067,Bucuresti,I M,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",chirurgieplastica@yahoo.com,www.arsuri.ro,ministerul sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
243,244,SPITALUL CLINIC DE URGENTE OFTALMOLOGICE� SPITAL DE SPECIALITATE SI AMBULATORIU INTEGRAT CU CABINETE DE SPECIALITATE,A50068,Bucuresti,I M,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",oftalmologie@gmail.com,spitaloftalmologie.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
244,245,SPITALUL CLINIC FILANTROPIA BUCURESTI,A50069,Bucuresti,I M,specialitate,public,clinic cu sectii universitare,"Str. Sf. Ecaterina nr 3, sector 4, Bucuresti",office@spitalulfilantropia.ro,www.spitalulfilantropia.ro,ASSMB,Acreditat,Unitate aflata in proces de acreditare,,,
245,246,SPITALUL CLINIC NR.1 C.F. WITTING,A50070,Bucuresti,IV,general,public,clinic cu sectii universitare,"Bulevardul Dinicu Golescu nr. 38, Sector 1, Bucuresti, Cod po?tal 010873",spitalwiting@yahoo.com,www spitalcfwiting.ro,Ministerul Transporturilor si Infrastructurii - Directia medicala,Acreditat,Unitate aflata in proces de acreditare,,,
246,247,"SPITALUL CLINIC ""SF. MARIA"" BUCURESTI",A50071,Bucuresti,II,general,public,clinic cu sectii universitare,"Strada Sfanta Ecaterina, Bucuresti 030167",secretariat@spitalsfmaria.ro,spitalsfmaria.ro,ASSMB,Acreditat,Unitate aflata in proces de acreditare,,,
247,248,"SPITALUL DE PNEUMOFTIZIOLOGIE ""SF STEFAN",A50072,Bucuresti,V,specialitate,public,fara invatamant,"Str. Sf. Ecaterina, nr 3, sector 4",contact@pneumosfstefan.ro,www.pneumosfstefan.ro,Administratia Spitalelor si Serviciilor Medicale,Acreditat,Unitate aflata in proces de acreditare,,,
248,249,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,A50073,Bucuresti,I,urgenta,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",secretariat@suub.ro,www.suub.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
249,250,SPITALUL UNIVERSITAR DE URGENTA ELIAS,A50074,Bucuresti,I,urgenta,public,clinic cu sectii universitare,"Calea Victoriei 125, Sector 1, Bucure?ti ROMaNIA",contact@spitalul-elias.ro,www.spitalul-elias.ro,Academia Romana,Acreditat,Unitate aflata in proces de acreditare,,,
250,251,SPITALUL JUDETEAN DE URGENTA BUZAU,A50075,Buzau,III,urgenta,public,fara invatamant,"Bd. Nicolae Balcescu 48, BUZAU, 120260",office@spitalulbuzau.ro,www.spitalulbuzau.ro,CONSILIUL JUDETEAN BUZAU,Acreditat,Unitate aflata in proces de acreditare,,,
251,252,SPITALUL ORASENESC NEHOIU,A50076,Buzau,IV,general,public,fara invatamant,"Strada ALEEA MERILOR, nr. 2-4, cod postal 125100",www.spitnehoiu@gmail.com,www.spitalnehoiu.com,PRIMARIA ORAS NEHOIU,Acreditat,Unitate aflata in proces de acreditare,,,
252,253,CENTRUL DE RECUPERARE NEUROMOTORIE PRO VITAM - PUNCT DE LUCRU,A50077,Caras-Severin,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Resita, Aleea Tineretului nr.7",provitam_resita@yahoo.com,www.provitam.info,ASOCIAtIA DE BINEFACERE PRO VITAM,Acreditat,Unitate aflata in proces de acreditare,,,
253,254,UNITATE SANITARA PUBLICA SPITALUL ORASENESC ORAVITA,A50078,Caras-Severin,IV,general,public,fara invatamant,"ORAVITA, STR 1 DECEMBRIE 1918, NR 60, JUD CARAS-SEVERIN",spitaluloravita@gmail.com,spitaluloravita.webgarden.ro,CONSILIUL LOCAL AL ORASULUI ORAVITA,Acreditat,Unitate aflata in proces de acreditare,,,
